Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
1989-10-01,12.39,91.371,467.379,2.8452665934219357,610.382,573.9852665934219,36.39673340657805,76.57155682834684,14.969478130089026,2.029876372501155,0.4661452325628763,5.962943436500103
1990-01-01,12.602,91.05,463.172,2.5643615436515805,607.186,569.3883615436515,37.79763845634852,76.28173245101172,14.995405032395343,2.075476048525493,0.4223354200609995,6.2250510480064625
1990-04-01,12.665,94.66,472.028,2.7419837113342287,620.34,582.0949837113342,38.24501628866585,76.09182061450173,15.259373891736788,2.041622336138247,0.44201304306255096,6.165170114560701
1990-07-01,12.091,96.957,477.004,2.8527418880348208,628.133,588.9047418880349,39.22825811196515,75.93996812776912,15.435743703960783,1.924910807106138,0.4541620784188732,6.245215282745079
1990-10-01,13.554,95.381,476.232,3.3488842715148928,626.593,588.5158842715149,38.07711572848507,76.00340252763756,15.222161754121096,2.163126622863645,0.534459253696561,6.076849841681135
1991-01-01,14.55,91.497,459.568,2.6674152676887517,613.433,568.2824152676886,45.15058473231136,74.91739114133084,14.915565351065235,2.371897175404649,0.4348340026846863,7.360312329514611
1991-04-01,15.279,87.467,461.448,2.7268054093093874,612.927,566.9208054093093,46.00619459069071,75.28596390761052,14.27037803849398,2.4927927795642875,0.4448825731790878,7.50598270115213
1991-07-01,15.895,88.169,464.132,2.672051509490967,616.693,570.868051509491,45.82494849050897,75.26143478197417,14.297065152352953,2.577457503166081,0.43328714765547316,7.4307554148513075
1991-10-01,16.041,89.502,469.212,2.8757257662811275,625.41,577.6307257662811,47.779274233718866,75.02470379431094,14.310932028589246,2.564877440399098,0.4598144843032775,7.639672252397446
1992-01-01,15.448,99.816,461.343,2.6928267890167237,627.451,579.2998267890167,48.1511732109833,73.52653832729568,15.908174502869546,2.462024923061721,0.42916925608800105,7.674092990685058
1992-04-01,15.295,102.025,470.239,2.732588815666199,637.932,590.2915888156662,47.64041118433386,73.71302897487506,15.993083902359501,2.3975909658082677,0.42835111197842385,7.467945044978752
1992-07-01,16.037,98.921,479.431,2.749670750705719,642.804,597.1386707507057,45.665329249294246,74.58432119277415,15.38898326706119,2.4948506854344403,0.4277619228731805,7.104082931857028
1992-10-01,16.515,107.215,498.975,3.0753847918968202,673.51,625.7803847918968,47.729615208103155,74.08575967691645,15.918843075826642,2.452079404908613,0.456620509257,7.086697333091291
1993-01-01,15.194,111.535,480.339,2.9032578232421873,656.938,609.9712578232421,46.96674217675786,73.11785891514877,16.978010101409875,2.3128514410796757,0.44193787286504777,7.149341669496644
1993-04-01,16.016,121.915,505.254,2.87281164572525,694.565,646.0578116457252,48.50718835427483,72.74394765068783,17.552712849049403,2.305903695118527,0.4136130737548322,6.983822731389405
